shape_id,shape_pt_lat,shape_pt_locsn,shape_pt_sequence,shape_dist_traveled
193040,38.760937,,24,
193040,38.757791,,25,
193040,38.754021,,26,
193040,38.752125,,27,
193040,38.748985,,28,
193040,38.747207,,29,
193040,38.74465,,30,
193040,38.741701,,31,
193040,38.73847,,32,
193040,38.733899,,33,
193040,38.730371,,34,
193040,38.72861,,35,
193040,38.726623,,36,
193040,38.720248,,37,
193040,38.715631,,38,
193040,38.714037,,39,
193040,38.708372,,40,
193040,38.707229,,41,
193040,38.705474,,42,
193045,38.706656,,1,
193045,38.707592,,2,
193045,38.710788,,3,
193045,38.710801,,4,
193045,38.712705,,5,
193045,38.714902,,6,
193045,38.716024,,7,
193045,38.714839,,8,
193045,38.714907,,9,
193045,38.713484,,10,
193045,38.71036,,11,
193045,38.70862,,12,
193045,38.708449,,13,
193045,38.707239,,14,
193046,38.710957,,1,
193046,38.713181,,2,
193046,38.714911,,3,
193046,38.71657,,4,
193046,38.71807,,5,
193046,38.72045,,6,
193046,38.721471,,7,
193046,38.72387,,8,
193046,38.725223,,9,
193046,38.72739,,10,
193046,38.726763,,11,
193047,38.723993,,1,
193047,38.723341,,2,
193047,38.721516,,3,
193047,38.71974,,4,
193047,38.717537,,5,
193047,38.71651,,6,
193047,38.715457,,7,
193047,38.714502,,8,
193047,38.71255,,9,
193047,38.710788,,10,
193052,38.792078,,1,
193052,38.788861,,2,
193052,38.78585,,3,
193052,38.783205,,4,
193052,38.782218,,5,
193052,38.7806,,6,
193052,38.77871,,7,
193052,38.776025,,8,
193052,38.775044,,9,
193052,38.769143,,10,
193052,38.766947,,11,
193052,38.764899,,12,
193052,38.762853,,13,
193052,38.763674,,14,
193052,38.766835,,15,
193052,38.768475,,16,
193052,38.765975,,17,
193052,38.762409,,18,
193052,38.761089,,19,
193052,38.758548,,20,
193052,38.757411,,21,
193052,38.755317,,22,
193052,38.755026,,23,
193053,38.757181,,1,
193053,38.758483,,2,
193053,38.761271,,3,
193053,38.762504,,4,
193053,38.766221,,5,
193053,38.767173,,6,
193053,38.766573,,7,
193053,38.763444,,8,
193053,38.762992,,9,
193053,38.765286,,10,
193053,38.767445,,11,
193053,38.770538,,12,
193053,38.773794,,13,
193053,38.77478,,14,
193053,38.775918,,15,
193053,38.777196,,16,
193053,38.77785,,17,
193053,38.780644,,18,
193053,38.781903,,19,
