shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
193034,38.772226,-9.190738,2,
193034,38.770992,-9.19358,3,
193034,38.768801,-9.19581,4,
193034,38.76512,-9.198847,5,
193034,38.7632,-9.197816,6,
193034,38.757659,-9.20471,7,
193034,38.756591,-9.204792,8,
193034,38.753952,-9.206263,9,
193034,38.752708,-9.208781,10,
193034,38.75022,-9.20768,11,
193034,38.747835,-9.20738,12,
193034,38.745954,-9.206514,13,
193034,38.74511,-9.202743,14,
193034,38.744722,-9.199043,15,
193034,38.747316,-9.19775,16,
193034,38.749779,-9.197506,17,
193034,38.749738,-9.194272,18,
193034,38.748204,-9.192571,19,
193034,38.747044,-9.188303,20,
193034,38.746696,-9.184594,21,
193034,38.745559,-9.18176,22,
193034,38.744338,-9.178742,23,
193034,38.743596,-9.176139,24,
193034,38.742419,-9.172408,25,
193034,38.742,-9.169435,26,
193034,38.738826,-9.168528,27,
193034,38.735177,-9.165441,28,
193034,38.732207,-9.162741,29,
193034,38.72932,-9.162442,30,
193034,38.727591,-9.161782,31,
193034,38.726441,-9.161478,32,
193034,38.723824,-9.160918,33,
193034,38.720711,-9.160725,34,
193034,38.720327,-9.159051,35,
193034,38.720768,-9.15632,36,
193034,38.719915,-9.154695,37,
193034,38.717537,-9.151047,38,
193034,38.716657,-9.148516,39,
193034,38.715457,-9.145094,40,
193034,38.714502,-9.144355,41,
193034,38.71255,-9.143213,42,
193034,38.709942,-9.143156,43,
193034,38.708063,-9.143406,44,
193034,38.705772,-9.143901,45,
193035,38.757659,-9.20471,1,
193035,38.756591,-9.204792,2,
193035,38.753952,-9.206263,3,
193035,38.752708,-9.208781,4,
193035,38.75022,-9.20768,5,
193035,38.747835,-9.20738,6,
193035,38.745954,-9.206514,7,
193035,38.74511,-9.202743,8,
193035,38.744722,-9.199043,9,
193035,38.747316,-9.19775,10,
193035,38.749779,-9.197506,11,
193035,38.749738,-9.194272,12,
193035,38.748204,-9.192571,13,
193035,38.747044,-9.188303,14,
193035,38.746696,-9.184594,15,
193035,38.745559,-9.18176,16,
193035,38.744338,-9.178742,17,
193035,38.743596,-9.176139,18,
193035,38.742419,-9.172408,19,
193035,38.742,-9.169435,20,
193035,38.738826,-9.168528,21,
193035,38.735177,-9.165441,22,
193035,38.732207,-9.162741,23,
193035,38.72932,-9.162442,24,
193035,38.727591,-9.161782,25,
193035,38.726441,-9.161478,26,
193035,38.723824,-9.160918,27,
193035,38.720711,-9.160725,28,
