route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
193177,1,,726 - Sapadores,,3,,,
193179,1,,726 - Pontinha Centro,,3,,,
193181,1,,726 - Pontinha Centro,,3,,,
193182,1,,726 - Pontinha Centro,,3,,,
193183,1,,727 - Estação Roma-Areeiro,,3,,,
193185,1,,727 - Estação Roma-Areeiro,,3,,,
193222,1,,732 - Caselas,,3,,,
193377,1,,208 - Cais Sodré,,3,,,
193380,1,,46B - Entrecampos (circ),,3,,,
193381,1,,55B - Carnide (circ.),,3,,,
193383,1,,61B - Serafina,,3,,,
193384,1,,727 - Restelo,,3,,,
193407,1,,13B - S. Vicente,,3,,,
193408,1,,15E - Pç. Figueira,,0,,,
193409,1,,15E - Algés,,0,,,
193410,1,,206 - Cais Sodré,,3,,,
193413,1,,208 - Estação Oriente,,3,,,
193416,1,,25E - Pç. Figueira,,0,,,
193417,1,,25E - Campo Ourique,,0,,,
193418,1,,40B - Lumiar,,3,,,
